title,company,location,date,job_url,job_description,applied,hidden,interview,rejected,date_loaded
(Cambodia) QC Associate Manager,Newtimes Group of Companies,"Phnom Penh, Phnom Penh, Cambodia",2026-06-08,https://www.linkedin.com/jobs/view/4425068476/,"We are looking for a Quality Control Associate Manager. Candidate will be located in Phnom Penh, Cambodia and will report directly to QC Manager.
Responsibilities include: 
- Analyze the quality inspection reports made by 3rd parties, deciding whether an order is authorized to be delivered or not.
- Find solutions and coordinate with different teams, in case of fail or pending result.
- Have a sense of supply chain and work closely with functional team of offices, in order to assure a product in excellent conditions, preventing delays on deliveries.
- Coordinate the operations in Quality department to make sure the good performance of inspections.
- Maintain updated the database for the office internal system and report any issues within them.
- Check, follow up & confirm potential new orders in system with responsible parties and coordinate upload.
- Manage, support on issues of suppliers interface related with quotations, schedules, forecasts.
- Support Quality team in other duties/projects
- Well-trained in Garment factory operation and manufacture.
- Familiar with all QC and manufacturing control documents.
- Able to identify problems and communicate with factories at all levels.
- Able to implement and drive QC training program in the manufacturing facilities.
- Lead with a “right first time” quality philosophy and practice.
- Attend PP meetings, support and assist in inline checking and final AQL inspections.
- Monitor the quality of the product through each of the various stages of production.
- Train newly hired quality personnel on company quality policies and how to use quality tools.
- Calibration and strengthening skills and judgement of QC team
- Lead Root Cause & CAP for any customer related quality issues
- Conduct factory evaluations on a regular basis with CAP follow up to address gaps
- Compilation of reports and analysis to guide management focus and actions.
- Other duties as assigned by Management.
Job Requirements:
- Based in Cambodia;
- Fluent in English is a MUST (oral & written); can speak Chinese is a big plus;
- At least 6-10 years of experience in QC fields;
- Willing to travel and out-station in provinces within Cambodia/Vietnam;
- Proven and well - established track record in managing quality for apparel products;
- Strong technical knowledge on quality matters (inspection levels, AQL, etc.); and fully versed and up to date with quality related best practices;
- Strong fabric and product knowledge, possess garment construction, pattern engineering and technical knowledge in 2D &3D software’s;
- Strong management, communication and interpersonal skills with internal team, liaison with our other offshore offices and with the customer;
- Excellent and comprehensive understanding of production requirements from a commercial and quality perspective;
- Good skill on time-managing, reporting and analyzing database;
- Analytical, detail focus, team-collaboration, and problem-solving skills;
- Proactive and autonomous, willing to learn and to perform under pressure in a fast-paced environment;
- Competent computer Skills, Experience in AX, Pivot 888 is a plus;
- Experience in conducting Classroom Training, in creating Workshop and Training modules an advantage.        
            
                            
            ",0,0,0,0,2026-06-08 20:13:28.804539
Accountant,SME Careers,Cambodia,2026-06-08,https://www.linkedin.com/jobs/view/4425460670/,"In this hourly, remote contractor role, you will work as an Accounting Subject Matter Expert (SME) to review AI-generated accounting and finance responses and/or create expert accounting content, evaluating reasoning quality and step-by-step problem-solving while providing precise written feedback. You will assess solutions for accuracy, clarity, completeness, and adherence to the prompt; identify errors in bookkeeping logic, journal entries, accruals, reconciliations, financial statement presentation, and controls; fact-check technical accounting claims; write high-quality explanations and model solutions that demonstrate correct methods; and rate and compare multiple responses based on correctness and reasoning quality. This role is with SME Careers, a fast-growing AI Data Services company and subsidiary of SuperAnnotate, delivering training data for many of the world’s largest AI companies and foundation-model labs.
Important
There is no immediate project for this role; however, if qualified, you will be among the first experts we reach out to when relevant opportunities arise. This will also provide you with access to future projects available through our expert network.
Key Responsibilities
-  Develop AI Training Content: Create detailed prompts and gold-standard accounting outputs (journal entries, explanations, close checklists, reconciliations logic, scenario analyses).
-  Optimize AI Performance: Evaluate and rank AI responses to improve correctness, clarity, and adherence to GAAP/IFRS and best practices.
-  Ensure Model Integrity: Test AI outputs for inaccuracies, misleading guidance, unsafe assumptions, and bias; validate reliability across business scenarios.
Your Profile
-  Bachelor’s degree (or higher) in Accounting, Finance, or a related field; CPA/ACCA/CMA (or local equivalent) is a strong plus.
-  5+ years of professional experience in accounting (public accounting, industry, shared services, or advisory).
-  Strong command of core accounting areas: revenue/expense recognition, accruals, prepaid/deferred items, fixed assets, inventory basics, payroll basics, and taxes awareness.
-  Proven ability to prepare and review journal entries, account reconciliations, and month-end close deliverables with attention to auditability.
-  Solid understanding of financial statements (P&L, balance sheet, cash flow) and common classification/presentation issues.
-  Familiarity with internal controls concepts (segregation of duties, approvals, documentation standards) and audit readiness.
-  Comfortable evaluating answers for internal consistency (sign conventions, debits/credits, timing, cut-off, supporting schedules) and business realism.
-  Minimum C1 English proficiency with the ability to write clear, structured explanations and follow detailed guidelines.
-  Reliable, self-directed, and able to deliver consistent quality in an hourly, remote contractor workflow across time zones.
-  Prior experience with AI data training/annotation, accounting QA, audit review, or technical accounting writing is strongly preferred.        
            
                            
            ",0,0,0,0,2026-06-08 20:13:28.804539
Admission Manager,"Agb Consulting-EoR, RPO, HR Outsources & Compliance","Phnom Penh, Phnom Penh, Cambodia",2026-06-08,https://www.linkedin.com/jobs/view/4425053449/,"ADMISSIONS MANAGER,
Report to: Director of Marketing & Admissions
An Admissions Manager will leads the end-to-end enrollment process, managing student recruitment, family communication, and application processing from initial inquiry to enrollment. The Admissions Manager acts as a key ambassador, overseeing the admissions team to meet targets, managing data via school information systems and ensuring compliance with educational regulations.
KEY RESPONSIBILITIES & DUTIES:
• Admissions Strategy & Management: Oversee the entire admissions lifecycle, ensuring a seamless experience for families while implementing strategies to achieve enrollment goals.
• Customer Service & Communication: Serve as a primary point of contact, ensuring prompt (e.g., 24-hour) responses to inquiries, conducting school tours, and managing parent relations.
• Application Processing: Manage the processing of applications (Kindergarten-Grade 12), including coordinating student assessments/interviews and evaluating student files.
• Data Management & Reporting: Maintain accurate records in student information systems, generating daily/weekly reports on enrolment numbers, conversion rates, and sales targets for senior management.
• Team Leadership: Supervise and train admissions staff, coordinating work schedules to ensure coverage.
• Compliance & Administration: Ensure adherence to school recruitment policies, ministry of education regulations, and manage the re-enrolment/withdrawal processes.
• Marketing & Outreach: Collaborate with the marketing team to promote the school, attending fairs, and analyzing market conditions to update admissions materials.
QUALIFICATIONS & SKILLS REQUIRED:
• Experience: Previous experience in a supervisory role in an international school setting is often required.
• Communication: Excellent interpersonal skills for dealing with a diverse, international community.
• Technical Proficiency: Strong knowledge of school management software, and customer relationship management (CRM), and Microsoft Office Suite.
• Organization: Highly organized with the ability to manage multiple tasks and strict deadlines.
Safeguarding & Child Protection
The successful candidate is expected to always uphold the school’s safeguarding and child protection policies, demonstrate appropriate professional boundaries, and immediately report any concerns related to student welfare, safety, or wellbeing. All staff are required to complete safeguarding training and successfully pass all required background and reference checks before employment.
📩 
Telegram: @Sreysrorss
📞 069 307 444 / 092 357 693
📧 ysreysrorss@agb-consulting.com        
            
                            
            ",0,0,0,0,2026-06-08 20:13:28.804539
Advertising Expert,SME Careers,Cambodia,2026-06-08,https://www.linkedin.com/jobs/view/4425461668/,"In this hourly, remote contractor role, you will work as an Advertising Subject Matter Expert (SME) to review AI-generated advertising outputs and/or create expert ad copy and campaign assets, evaluating reasoning quality, strategy alignment, and step-by-step creative decision-making while providing precise written feedback. You will assess solutions for clarity, persuasion, brand fit, platform fit, and adherence to the prompt; identify issues in audience targeting logic, messaging hierarchy, offer framing, hooks/CTAs, compliance/claims risk, and creative-testing strategy; fact-check claims where needed; write high-quality explanations and model deliverables (ads, variations, briefs) that demonstrate best practices; and rate and compare multiple responses based on effectiveness, correctness, and reasoning quality. This role is with SME Careers, a fast-growing AI Data Services company and subsidiary of SuperAnnotate, delivering training data for many of the world’s largest AI companies and foundation-model labs.
Important
There is no immediate project for this role; however, if qualified, you will be among the first experts we reach out to when relevant opportunities arise. This will also provide you with access to future projects available through our expert network.
Key Responsibilities
-  Develop AI Training Content: Create detailed prompts and gold-standard advertising outputs (ad copy sets, creative briefs, test plans, performance analyses) to guide AI learning.
-  Optimize AI Performance: Evaluate and rank AI responses to improve strategic fit, persuasion, clarity, and practical applicability.
-  Ensure Model Integrity: Test AI outputs for inaccuracies, misleading claims, policy violations, and bias; validate reliability across channels and audiences.
Your Profile
-  Bachelor’s degree (or higher) in Marketing, Communications, Business, or a related field (or equivalent professional experience).
-  5+ years of professional experience in advertising and/or performance marketing (agency or in-house), with hands-on campaign ownership.
-  Strong command of ad fundamentals: positioning, offer strategy, messaging frameworks, hooks, CTAs, and creative iteration.
-  Experience across major channels (as relevant): Meta (Facebook/Instagram), Google Ads/YouTube, TikTok, LinkedIn, programmatic, and/or connected TV.
-  Strong measurement instincts: CTR, CVR, CPA, ROAS, LTV, attribution limitations, and experiment design basics.
-  Comfort evaluating and improving ad copy for clarity, differentiation, compliance, and platform policy fit (especially in regulated categories).
-  Able to write gold-standard deliverables: ad variations, creative briefs, landing page critiques, and testing roadmaps—with clear rationale.
-  Minimum C1 English proficiency with excellent writing/editing skills.
-  Reliable, self-directed, and able to deliver consistent quality in an hourly, remote contractor workflow across time zones.
-  Prior experience with AI data training/annotation, creative QA, editorial review, or ad policy review is strongly preferred.        
            
                            
            ",0,0,0,0,2026-06-08 20:13:28.804539
Area Manager,TotalEnergies,"Doun Penh, Phnom Penh, Cambodia",2026-06-07,https://www.linkedin.com/jobs/view/4283749296/,"Contexte et environnement
 
The oil products' market in Cambodia is relatively small but competition is fierce with a number of local and international players crowding the market. Convenience services and quality are becoming more and more popular and a major challenge for the Job Holder is thus to position Total brand within the market in such a way as to increase sales both within the store and on the fore court.
 
Activités
 
-  Defines and manages the retail strategy which cover all businesses in the stations by analyses the environment and the market in which operates to identify opportunities and threats, determine the SFS and non-fuel business opportunities and compliance with the Health/ Safety/ Environment, Safety of property and personal policy. 
-  Optimize profitability include franchise fee, rental, minimize loss/gain and other income from stations under the area of responsibilities. 
-  Fast track development of SFS businesses. 
-  Initiate the marketing and promotional strategy for all sale activities in conjunction with the Marketing department. 
-  Have a proper retail segmentation and renovation plan for all stations. 
-  Work together and propose to Optimization team to analyze profitability of the stations 
-  Create Financial Control and Forecasted P&L. 
-  Responsible for Top services, training need at the stations, analyzing overall sales and customer service performance in the territory and identifying potential for improvement at service stations, find out ways and means for improving sales. 
-  Visit and work with the Station Manager to ensure sales action plan are in place to address any areas of sales under performance. 
-  Ensure general upkeep of the service stations in terms of present-ability, safety and security. 
-  Supervise all service stations activities which include sales, customer relationships, stock and accounts. 
-  Immediately notify the supervisor in the event of any non-conformity or security related activities. 
-  Actively involving and promoting culture of food hygiene awareness and ensuring no food poison at stations under his/her territory Ensure highest and consistent service delivery by station staff in order to differentiate service offer from competitors 
-  Conduct competitor price survey and update competitors' activities/promotion in his/her trade area. 
-  Ensure all staff under his/her portfolio understand ""How to"" and implement active selling program. 
-  Ensure all staff are capable enough in doing his/her tasks well; especially, HESQ awareness, implement and share to others Monitor and update on time & Other duties assigned by Retail Manager. 
 
Profil du candidat
 
- Experience with B2B and B2C sale techniques
- Excellent people skills and an ability to build relationships and problem solving with people at all levels. Proven track record of building business and hitting sales targets.
- Strong management skill
- Good command of English.
-  Proficiency with Microsoft Office programs included PowerPoint, Word and Excel 
 
Informations supplémentaires
 
TotalEnergies valorise la diversité, promeut le développement individuel et offre des opportunités d'emploi égales à tous les candidats.        
            
                            
            ",0,0,0,0,2026-06-08 20:13:28.804539
Assistant Key Account Manager,PassApp Technologies,"Tuol Kouk, Phnom Penh, Cambodia",2026-06-08,https://www.linkedin.com/jobs/view/4425095680/,"Job Responsibilities 
• Act as the primary liaison between external partners and internal teams 
• Support lead evaluation and partnership development activities 
• Coordinate with internal stakeholders to ensure alignment on partnership scope and requirements 
• Facilitate smooth execution of partnership initiatives across cross-functional teams 
• Monitor progress and ensure timely delivery of agreed initiatives 
• Manage day-to-day partner communication, including updates and requirement alignment  
• Support internal communication to ensure clarity and consistency across teams 
• Assist in maintaining strong partner relationships for ongoing collaboration  
• Identify and escalate potential issues, while highlighting opportunities for improvement 
Job Requirements  
• Bachelor's degree in Business, Marketing, or related fields 
• 2-4+ years of experience in Account Management, Partnerships, or Business Development 
• Excellent communication, multilingual, and stakeholder management skills 
• Ability to manage tasks independently and follow through on execution 
• Advanced understanding of partnership or commercial processes 
• Problem-solving mindset with ability to escalate when necessary 
• Ability to work in a fast-paced, cross-functional environment  
• Highly proficient in the ability to articulate unique value propositions to stakeholders and potential 
partners 
• Proficiency in Microsoft Office Suite (Excel, PowerPoint, Word) or similar tools        
            
                            
            ",0,0,0,0,2026-06-08 20:13:28.804539
"Assistant Manager, Environment, Health and Safety",Chip Mong Insee Cement Corporation,"Kampot, Cambodia",2026-06-08,https://www.linkedin.com/jobs/view/4425086562/,"Company Description
Chip Mong Insee Cement Corporation, established in 2015 and based in Cambodia, produces high-quality cements catering to both retail and industrial markets. Our operations prioritize the responsible use of natural resources and uphold world-class quality assurance standards. As an environmentally conscious company, we embrace sustainable development and work closely with stakeholders to ensure long-term value creation. We are dedicated to fostering economic and social growth in Cambodia while meeting the needs of our customers. At Chip Mong Insee Cement, we take pride in empowering our talented workforce and driving positive industry change.
Role Description
This is a full-time, on-site role for an Environment, Health, and Safety (EHS) Manager located in Kampot. The EHS Manager will be responsible for implementing and managing environment, health, and safety programs. Key responsibilities include developing and executing EHS policies, ensuring compliance with regulations, conducting risk assessments, managing accident investigations, delivering safety training programs, and maintaining a safe and sustainable working environment. The EHS Manager will collaborate across departments to promote a culture of safety and continuous improvement.
Qualifications
- Be a Cambodian
- Expertise in Environment Health and Safety (EHS) programs and Occupational Health protocols
- Strong skills in Health & Safety compliance, including familiarity with relevant regulations
- Proven experience in Accident Investigation and implementation of corrective actions
- Ability to create and deliver impactful training sessions on workplace safety and health
- Excellent organizational, analytical, and problem-solving abilities
- Strong communication and leadership skills for fostering a safety-first culture
- Bachelor’s degree in Environmental Science, Occupational Health, Safety Management, or a related field
- Experience in industrial or manufacturing environments is a plus        
            
                            
            ",0,0,0,0,2026-06-08 20:13:28.804539
"Assistant Manager, MX Field force Operations & Retail Planning (Cambodia Branch)",Samsung Southeast Asia & Oceania,"Phnom Penh, Phnom Penh, Cambodia",2026-06-08,https://www.linkedin.com/jobs/view/4425493135/,"Position Summary
-  Maximize sell-outs by working with the dealers on store level.
-  Strengthen profit-based upselling of premium products by optimizing SKU(Stock Keeping Unit) for each store.
-  Minimize faulty products and obsolete inventory through store's inventory management.
Responsibilities
Role and Responsibilities
- Oversee and manage manpower and communicate to ensure that all operations are smooth run with efficiency and effectiveness
- ensure that all operations are execute well according to retail guideline
- Working with team and RTM Head to conduct KPI target setting for promoters, retail and area supervisors ensuring targets are achieved
- Assigning territories and schedules to team members for effective coverage and penetration
- Conduct quarterly evaluation of the promoter and retail supervisor
- Organize and conduct promoter and merchandiser meetings to clearly communicate direction and strategy and to update related information such as market situation, business situation and product promotions
- Conduct necessary training to all team members in relation to performance
- Conduct site visits to monitor and determine retail teams activity and performance
- Provide and summarize retail managerial support, distribution tracking manpower movement and all ad hoc report
- Direct, guide and monitoring daily operation of Field Force to secure good result
- Coordinate with Retail Team and HR Agency to secure a smooth Operation with high effective
Qualifications
Skills and Qualifications
- Bachelor’s degree in Marketing, General Management, HR or related fields
- Min 5 years’ relevant experience in Field Force Management, Retail Marketing or Retail Business Management
- Solid experience in large number people management
- Knowledge of HRM as a professional people management
- Mature, dynamic, energetic with ability to work well under pressure
- Good leadership, decision making and problem solving skills
- Excellent interpersonal and communications skills
- Ability to travel to upcountry as business assigned
- Good command of English both written and spoken
- Computer Literacy is a must
-  Please visit Samsung membership to see Privacy Policy, which defaults according to your location. You can change Country/Language at the bottom of the page. If you are European Economic Resident, please click here.        
            
                            
            ",0,0,0,0,2026-06-08 20:13:28.804539
Assistant/Associate Merchandiser,"Williams-Sonoma, Inc.","Phnom Penh, Phnom Penh, Cambodia",2026-06-08,https://www.linkedin.com/jobs/view/4373544458/,"Job Summary
 JOB DESCRIPTION 
The Assistant/Associate Merchandiser is in local Supply Chain team for WSI and is responsible for interfacing with cross function team to optimize process flow to support objectives. They are the primary liaison among the vendors, Inventory team, transportation team, forwarders, managing order fulfilment, cargo delivery, vendor relations and key communications. This position includes situational analysis, strategy development, guidance and implementation for the functional disciplines of supply chain development.
Job Content And Duties
-  Order Management 
-  Monitor vendor PO fulfilment status by collecting response to pull up/push out/cancellation request from inventory team. 
-  Reduce back order by continuing to manage (push – chase) process with inventory. 
-  Drive vendors to support PO changes. 
-  Seasonal Floor set tracking for all brands and record for delay exceptions. 
-  Analyse PVR/PWR report to reduce long-time pending orders in system by vendor/inventory. 
-  Logistics Implement 
-  Work with cooperate transportation team to optimize the logistic strategy by updating the shipping instruction. 
-  Manage vendors to implement the most updated logistics policy to achieve our logistic strategy. 
-  Make sure the transportation in an efficiency way via good communication with related department. 
-  Build & Maintain the shipping guideline for new vendors to facilitate their On-boarding. 
-  On Time Delivery Management 
-  Monitor and improve vendor KPIs to increase vendor performance on cargo delivery. 
-  Track vendor on time booking performance to foresee any potential cause of the delay. 
-  Work with US transportation team to get accurate carrier space forecast, resolve the space issue in peak season. 
-  Drive Franchise shipment on time delivery with Merchant team bi-weekly basis to achieve target of each category. 
-  Manage the ocean/air forwarders to improve their service level on daily work. 
-  Troubleshoot any issues that come up on cargo delivery and work with vendors to avoid delays. 
-  Shipping Efficiency 
-  Measure container utilization for factory load or warehouse consolidation, to reduce light load ratio of the shipments. 
-  Communicate with vendor to fully understand our cargo consolidation requirement to reduce the co-load cost at destination. 
-  Expand the “Milk Run” loading to save the local charge for WSI/vendor by consolidating CFS cargos from different vendors. 
-  Implement logistics cost down & inventory control projects. 
-  SPO Delivery 
-  Ensure forwarder always keep high efficiency on international drop shipment. 
-  Monitor vendor to have cargo ready on time for SPO and follow the process in Citrix system. 
-  Support Merchant team to resolve any shipping issue, such as booking releasing, carrier space and so on. 
-  AD Hoc task and data analyzation 
-  Support cross function team for any project launch by shipping aspect. 
-  Generate and analyze the volume or OTD report per request from top management team. 
-  Develop the global connect system to all associates when necessary. 
Job Competencies & Experience
Knowledge
The incumbent who has knowledge of in the following areas are preferred:
-  Experience of PO management in sourcing industry. 
-  Knowledge of sourcing logistic mode and logistic cost management 
-  Knowledge of international trading, overall understanding export operation. 
Skills
The incumbent must demonstrate the following skills:
-  Fluent English oral and written skills, 2 nd foreign language Chinese is preferred. 
-  Excellent interpersonal skills 
-  Analytical and problem-solving skills 
-  Effective verbal and listening communications skills 
-  Attention to detail and high level of accuracy 
-  Effective written communications skills 
-  Computer skills including the spreadsheet and word-processing programs, and e-mail at a highly proficient level 
-  Ability to manage time well and handle difficult situations        
            
                            
            ",0,0,0,0,2026-06-08 20:13:28.804539
"Associate, Account Management",foodpanda,"Phnom Penh, Phnom Penh, Cambodia",2026-06-08,https://www.linkedin.com/jobs/view/4405962198/,"foodpanda is part of the Delivery Hero Group, the world’s pioneering local delivery platform, our mission is to deliver an amazing experience—fast, easy, and to your door. We operate in around 65 countries worldwide. Headquartered in Berlin, Germany. Delivery Hero has been listed on the Frankfurt Stock Exchange since 2017 and is part of the MDAX stock market index.
Job Description
- Manage a portfolio of longtail (SMB) accounts, ensuring alignment with company goals and tracking progress towards objectives. 
- Collaborate closely with internal teams to enhance the quality of our vendors’ offerings and services. 
- Utilize problem-solving skills to address various vendor-related challenges and situations. 
- Take ownership of assigned accounts to facilitate goal achievement and monitor performance metrics. 
- Work collaboratively with cross-functional teams to implement strategies for improving vendor quality and performance. 
Qualifications
- Experience in a related role, preferably within the e-commerce sector. 
- Strong communication and interpersonal skills with the ability to build and maintain relationships. 
- Analytical mindset with the ability to interpret data and provide actionable insights. 
- Proactive problem-solving skills and the ability to work effectively under pressure. 
- Experience in pitching and negotiating campaigns or promotions is a plus. 
- Strong organizational skills with the ability to handle multiple tasks and prioritize effectively. 
- Proficiency in English, both written and spoken
- Proficiency in Google Workspace is a plus.        
            
                            
            ",0,0,0,0,2026-06-08 20:13:28.804539
